mw_id,ce_id
KDX2022-0014,bb50587f-9996-4b79-b642-53594100a8d3
DJX0935-0024,29c05dad-bfdc-4c13-a4bd-9554f3066c70
HEX14955-0001,f4b7c79e-47a8-4f69-8130-9c572cb5a450
KDX1682-0002,55d71461-e304-45d5-8989-d9bedc311ef1
KDX0395-0002,7d838ada-a3cc-4d04-8122-fd31884cd560
KDX1844-0002,b7ec6ecc-5751-4fdb-9c9f-e029d5a6fb3e
KDX1458-0002,58c11585-c6a1-4dc2-8f56-166227ac025a
KDX1983-0003,b75256cb-d4a1-4ee8-8705-4bfc19ae47dc
KDX1302-0019,a2a652ef-beaa-44c2-8cfe-eef182fa8a7b
DJX0935-0014,7b1e3807-ca19-4876-baa6-75acff662057
KDX1016-0014,a290747a-a698-4216-943a-20eec3e80411
HEX6612-0010,b4c5acf9-cf37-4a56-8722-f001f2081c7d
JK236267-0004,267b958f-0b4c-419c-ba47-755a1b1fa8d8
JK243299-0011,0630aa25-abe1-403d-b7f8-4026c542da21
KHX0384-0023,33430b29-abf9-4b91-ab65-250c0934744d
KHX0981-0002,ab5f3a73-241f-4f4d-8dc7-a9948eed1e8c
JK207122-0007,6e6047e4-253f-4ae8-88dc-be3dc6427429
HEX5737-0007,adb22940-1560-4226-83c4-5dc2aa2854be
JK243299-0007,80d0a3a5-7de3-4709-a0df-8c0903be8fdb
KHX0981-0005,95a81d4e-6f92-467e-ae74-7429275663c0
JK243300-0005,08a291cd-65eb-49ce-b57a-e4fa911113c0
HEX5540-0002,f36a85c0-7a3b-42d1-9318-c9f2d26ac4f1
HEX5540-0001,8e7dd549-2747-4bb5-9e74-c585733ec4dd
KHX0384-0030,3c8a55bd-72de-4fea-aeaa-433060601a42
KHX1680-0005,cab3e64c-c2b2-4daa-9f65-5fa9ad0132fe
HEX5540-0011,8d9d2fde-bac8-49cb-bfb9-7f8418984011
KHX1680-0006,b820fb91-464c-4944-9805-a6622ec7cfe7
KHX0981-0001,c263361d-89c4-4124-97d4-17c79067a7ca
JK207122-0005,fe06c060-276c-4b80-9326-06ed05f3b169
JK236267-0006,e987cbf0-e810-4fc5-be2a-ac71d65d20d5
JK207122-0001,d4746f06-5564-4769-9469-1fa9377ab578
KDX0983-0004,80549456-8e86-41d7-9c2e-f033fcae4ef9
KDX1022-0005,67e548ee-7698-4241-9de2-3912b15cb5c7
KDX1878-0002,9fbc63d3-b404-4713-a186-4221be3dce0f
KDX2236-0005,357042e1-4d06-43bf-8633-f975d2367f37
KDX1022-0006,b0806080-19b8-4500-992d-2f63642eb40e
KDX0984-0003,861a2994-db14-4239-8a73-58838a201dd5
KDX0996-0002,1ea2efbd-bceb-469c-afb5-fd3515e174e7
KDX0996-0007,85edab5e-09fb-425b-8e23-269032d1ac1a
KDX0996-0011,af1b69dd-a5dc-4f8b-b77c-96d77432c7b1
KDX0996-0014,06d406f4-c89d-4bd0-b113-73b3129cb641
KDX0057-0002,ea00a1ec-3ba1-4038-80af-efed7ff782d2
KDX0057-0004,b81a1631-eb02-476d-9bb3-1050dfbaf519
KDX0608-0007,9d4e023c-42df-4820-89a7-983f61c617ff
